Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SMB1433M,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,17/10/2022,00:00.0,17/10/2022,5/3/2030,1269,0,1600,2,4,652908,792136239,54654700,23683257,10.79726027,6.5,Scheduled - Future,934,665,801990,47,8
SMB1435H,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,22/5/2019,,22/5/2019,2/4/2026,,0,1777.248797,1,1,404990,870954325,88884680,31722003,10.79726027,4.830136986,Overdue - Action Required,2178,-402,886717,54,6
SMB1435H,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,19/5/2019,,19/5/2019,31/3/2026,,0,1778.385323,1,1,404990,870954325,88884680,31722003,10.79726027,4.821917808,Overdue - Action Required,2181,-404,886717,54,6
SMB1436E,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,11/9/2019,,11/9/2019,7/4/2026,,0,1670.816253,1,1,,719210980,56517140,22536283,10.79726027,5.136986301,Overdue - Action Required,2066,-396,730744,26,2
SMB1436E,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,11/9/2019,,11/9/2019,7/4/2026,,0,1670.816253,1,1,,719210980,56517140,22536283,10.79726027,5.136986301,Overdue - Action Required,2066,-396,730744,26,2
SMB1437C,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,28/5/2019,,28/5/2019,23/1/2026,,0,1701.715107,1,1,,837782227,80493510,43088541,10.79726027,4.846575342,Overdue - Action Required,2172,-471,849515,40,5
SMB1437C,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,28/5/2019,,28/5/2019,23/1/2026,,0,1701.715107,1,1,,837782227,80493510,43088541,10.79726027,4.846575342,Overdue - Action Required,2172,-471,849515,40,5
SMB1438A,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,12/8/2022,00:00.0,12/8/2022,8/4/2030,1605,0,1500.022238,2,4,612057,941198480,62196810,33686912,10.79726027,5.85890411,Scheduled - Future,1000,499,782410,31,8
SMB1438A,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,21/12/2022,00:00.0,21/12/2022,17/8/2030,1736,0,1650.022238,2,4,636662,941198480,62196810,33686912,10.79726027,6.038356164,Scheduled - Future,869,780,782410,31,8
SMB1439Y,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,11/10/2022,00:00.0,11/10/2022,18/4/2030,1648,0,1475.144321,2,4,487900,771085112,71180110,28884564,10.79726027,5.964383562,Scheduled - Future,940,534,784330,48,7
SMB1439Y,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,11/10/2022,00:00.0,11/10/2022,18/4/2030,1648,0,1625.144321,2,4,487900,771085112,71180110,28884564,10.79726027,5.964383562,Scheduled - Future,940,684,784330,48,7
SMB1441P,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,24/4/2023,00:00.0,24/4/2023,28/2/2028,1865,0,1535.516119,2,4,603249,714658538,58832370,24752932,10.79726027,6.201369863,Scheduled - Future,745,789.5,725891,18,4
SMB1441P,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,24/4/2023,00:00.0,24/4/2023,28/2/2028,1865,0,1685.516119,2,4,603249,714658538,58832370,24752932,10.79726027,6.201369863,Scheduled - Future,745,939.5,725891,18,4
SMB1442L,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,14/11/2022,,14/11/2022,6/6/2026,,0,1300,1,1,653926,829269247,72971970,25978266,10.75890411,8.276712329,Scheduled - Future,906,393,842638,66,6
